"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"
"2:38:01::"	"and"	"and"	"come"	"that"	"come_and"	"and_and"	"and_that"	",_come_and"	"come_and_and"	"and_and_that"	"and_that_we"	"ε"	"VB"	"CC"	"VB"	"CC"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"have"	"hear"	"him"	"tell"	"these"	"young"	"people"	"that"	"during"	"his"	"almost"	"years"	"of"	"service"	"in"	"congress"	"he"	"has"	"see"	"the"	"kaisers"	"and"	"the"	"hitlers"	"and"	"the"	"the"	"tojos"	"and"	"stalins"	"and"	"khrushchevs"	"come"	"and"	"go"	"and"	"that"	"we"	"are"	"pass_on"	"to"	"them"	"the"	"freest"	"nation"	"that"	"mankind"	"has"	"ever"	"know"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"can"	"to"	"representative"	"discuss"	"representative_can"	"can_to"	"to_discuss"	"fledgling_representative_can"	"representative_can_to"	"can_to_discuss"	"to_discuss_the"	"NN"	"NNP"	"MD"	"VB"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"above_all"	"he"	"be"	"a"	"person"	"whom"	"a"	"fledgling"	"representative"	"can"	"go"	"to"	"discuss"	"the"	"personal"	"and"	"professional"	"problems"	"which"	"inevitably"	"confront"	"a"	"new"	"congressman"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"has"	"in"	")"	"2"	")_has"	"has_in"	"in_2"	"harlan-marcia_)_has"	")_has_in"	"has_in_2"	"in_2_:"	"NNP"	"ε"	"VBZ"	"VB"	"VB"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"brief_candle"	"harlan-marcia"	"go"	"in"	"h"	"lena_faber"	"faber_hanover-chalidale_lena"	"h"	"martha_rodney"	"rodney-miss_martha"	"d"	"h"	"checkit"	"faber_hanover-supermarket"	"h"	"charm_rodney"	"rodney-the_charmer"	"h"	"fair_sail"	"farvel-topsy_herring"	"h"	"custom_maid"	"knight_dream-way_dream"	"h"	"jacky_dares"	"meadow_gene-princess_lorraine"	"h"	"good"	"flying"	"good"	"time-olivette_hanover"	"h"	"bordner_hanover"	"tar_heel-betty_mahone"	"faber"	"choice"	"faber_hanover-sally_joe_whippet"	"h"	"invercalt"	"florican-inverness"	"h"	"duffy_dares"	"meadow_gene-princess_mite"	"h"	"harold_j."	"worthy_boy-lady_scotland"	"knightfall"	"knight_dream-miss_worthy_grapes"	"h"	"next"	"knight"	"knight_dream-next_time"	"h"	"trader_jet"	"florican-my_precious"	"h"	"trader_rich"	"worthy_boy-marquita_hanover"	"h"	"good"	"little_girl"	"good"	"time-mynah_hanover"	"h"	"iosola_hanover"	"kimberly_kid-isoletta_hanover"	"h"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"a_bit"	"start"	","	"start_to"	"to_a_bit"	"a_bit_,"	"are_start_to"	"start_to_a_bit"	"to_a_bit_,"	"a_bit_,_and"	"VBP"	"VB"	"TO"	"VB"	"RB"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"year-olds"	"are"	"still"	"gain"	"most_of"	"the"	"attention"	"at"	"track"	"green"	"horses"	"are"	"start"	"to"	"go"	"a_bit"	"and"	"jimmy_cruise"	"have"	"several"	"that"	"can"	"really"	"make_it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"never"	"abroad"	"sloan"	")"	"sloan_never"	"never_abroad"	"abroad_)"	"(_sloan_never"	"sloan_never_abroad"	"never_abroad_)"	"abroad_)_;"	"ε"	"NNP"	"RB"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"significant"	"be"	"such"	"canvases"	"as"	"bleeker_street"	"saturday_night"	"with"	"its"	"american"	"crowd"	"sloan"	"never"	"go"	"abroad"	"the"	"multifigure"	"traveling_carnival"	"in_which"	"action"	"is"	"vivify"	"by"	"lighting"	"or"	"carmine_theater"	"the"	"only"	"canvas"	"with"	"an"	"ash"	"can"	"and"	"foraging"	"dog"	"although"	"sloan"	"be"	"a"	"member"	"of"	"the"	"famous"	"eight"	"and"	"of"	"the"	"so-called"	"ash-can_school"	"a"	"term"	"he"	"resent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"then"	"their"	","	"respective"	",_then"	"then_their"	"their_respective"	"u._s._senate_,_then"	",_then_their"	"then_their_respective"	"their_respective_ways"	"NNP"	"ε"	"RB"	"VB"	"PRP$"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"old"	"and"	"new"	"briefly"	"cross"	"in"	"the"	"u._s._senate"	"then"	"go"	"their"	"respective"	"ways"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:06::"	","	"the"	"talent"	"a._a._u"	"talent_,"	",_the"	"the_a._a._u"	"as_talent_,"	"talent_,_the"	",_the_a._a._u"	"the_a._a._u_."	"IN"	"NN"	"ε"	"VB"	"DT"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"decathlon"	"man"	"rafer_johnson"	"time"	"cover"	"aug."	"whose"	"gold"	"medal"	"in"	"last"	"summer"	"olympic_games"	"win"	"as"	"much"	"on"	"gumption"	"as"	"talent"	"go"	"the"	"a._a._u"	"james_e._sullivan_memorial_trophy"	"as"	"the"	"outstanding"	"u._s."	"amateur"	"athlete"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"'ve"	"''"	"you"	","	"you_'ve"	"'ve_''"	"''_,"	"after_you_'ve"	"you_'ve_''"	"'ve_''_,"	"''_,_``"	"IN"	"PRP"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"play"	"minor_swing"	"honeysuckle_rose"	"beyond_the_sea"	"bricktop"	"heavy"	"artillery"	"djangology"	"after"	"you"	"go"	"where"	"be"	"you"	"love"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"is"	"to"	"white_house"	"get"	"white_house_is"	"is_to"	"to_get"	"the_white_house_is"	"white_house_is_to"	"is_to_get"	"to_get_some"	"DT"	"NN"	"VBZ"	"VB"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at_last"	"white_house"	"is"	"go"	"to"	"get"	"some"	"much-copied"	"furniture"	"by"	"that"	"master"	"american"	"craftsman"	"duncan_phyfe"	"whose"	"designs"	"were"	"snub"	"in"	"his"	"lifetime"	"when"	"the"	"u._s."	"presidents"	"of"	"the"	"th"	"century"	"send"	"abroad"	"for"	"their"	"furnishings"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"that"	"on"	"groups"	"simultaneous"	"groups_that"	"that_on"	"on_simultaneous"	"four_groups_that"	"groups_that_on"	"that_on_simultaneous"	"on_simultaneous_tours"	"CD"	"NNS"	"IN"	"VB"	"VB"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"miss_bouton"	"head_up"	"one"	"the"	"four"	"groups"	"that"	"go"	"on"	"simultaneous"	"tours"	"after"	"the"	"gallery"	"had"	"close"	"at"	"p."	"m."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	","	"one"	"group"	"of"	"group_,"	",_one"	"one_of"	"each_group_,"	"group_,_one"	",_one_of"	"one_of_the"	"DT"	"NN"	"ε"	"VB"	"CD"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"along"	"with"	"the"	"gallery"	"aide"	"who"	"explain"	"various"	"paintings"	"and"	"sculptures"	"to"	"each"	"group"	"go"	"one"	"of"	"the"	"gallery"	"blue-uniformed"	"guards"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"thought"	"into"	"a_lot_of"	"storage_space"	"a_lot_of_thought"	"thought_into"	"into_storage_space"	"∅_a_lot_of_thought"	"a_lot_of_thought_into"	"thought_into_storage_space"	"into_storage_space_construction"	"ε"	"JJ"	"NN"	"VB"	"VB"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"thought"	"go"	"into"	"storage_space"	"construction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"i"	"in"	"everywhere"	"formosa"	"everywhere_i"	"i_in"	"in_formosa"	"∅_everywhere_i"	"everywhere_i_in"	"i_in_formosa"	"in_formosa_i"	"ε"	"RB"	"PRP"	"VB"	"VB"	"NNP"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"go"	"in"	"formosa"	"i"	"ask"	"the"	"same"	"question"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"i"	"to"	"so"	"see"	"so_i"	"i_to"	"to_see"	"∅_so_i"	"so_i_to"	"i_to_see"	"to_see_``"	"ε"	"RB"	"PRP"	"VB"	"VB"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"go"	"to"	"see"	"la_dolce_vita"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"``"	"somewhere"	"motto"	","	"motto_``"	"``_somewhere"	"somewhere_,"	"their_motto_``"	"motto_``_somewhere"	"``_somewhere_,"	"somewhere_,_anywhere"	"PRP$"	"NN"	"ε"	"VB"	"VB"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"travel"	"club"	"is"	"comprise"	"of"	"fun-loving"	"who"	"have"	"as"	"their"	"motto"	"go"	"somewhere"	"anywhere"	"everywhere"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"montpelier"	"with"	"of"	"fogg"	"of_montpelier"	"montpelier_with"	"with_fogg"	"postmaster_charles_f._mckenna_of_montpelier"	"of_montpelier_with"	"montpelier_with_fogg"	"with_fogg_on"	"NNP"	"IN"	"NNP"	"VB"	"VB"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"face"	"with"	"this"	"postmaster_charles_f._mckenna"	"of"	"montpelier"	"go"	"with"	"fogg"	"on"	"a"	"burlington"	"trip"	"and"	"together"	"they"	"scout"	"the"	"terrain"	"on"	"the"	"heights"	"of"	"berlin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"``"	"upstairs"	"would"	"''"	"would_``"	"``_upstairs"	"upstairs_''"	"aviator_would_``"	"would_``_upstairs"	"``_upstairs_''"	"upstairs_''_high"	"NN"	"MD"	"ε"	"VB"	"NN"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sometimes"	"on"	"a"	"return"	"trip"	"aviator"	"would"	"go"	"upstairs"	"high"	"over"	"the"	"clouds"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:08::"	"to"	","	"likely"	"the"	"likely_to"	"to_,"	",_the"	"most_likely_to"	"likely_to_,"	"to_,_the"	",_the_redistricting"	"RBS"	"JJ"	"TO"	"VB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"eyes"	"focus_on"	"the"	"third"	"congressional_district"	"the"	"historic"	"delta"	"and"	"congressman_frank_e._smith"	"as"	"the"	"one"	"most"	"likely"	"to"	"go"	"the"	"redistricting"	"battle"	"will"	"put"	"to"	"a"	"test"	"the"	"longstanding"	"power"	"which"	"lawmakers"	"from"	"the"	"delta"	"have"	"hold"	"in"	"the"	"legislature"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"on"	"anxious"	"the"	"anxious_to"	"to_on"	"on_the"	"so_anxious_to"	"anxious_to_on"	"to_on_the"	"on_the_stage"	"RB"	"JJ"	"TO"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"seem"	"anxious"	"to"	"go"	"on"	"the"	"stage"	"that"	"some"	"of"	"her"	"friends"	"in"	"the"	"cocktail"	"circuit"	"set_up"	"a"	"practical_joke"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"she"	"to"	","	"her"	",_she"	"she_to"	"to_her"	"while_,_she"	",_she_to"	"she_to_her"	"to_her_mirror"	"RB"	"ε"	"PRP"	"VB"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"after"	"a"	"she"	"go"	"to"	"her"	"mirror"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
